movie_id,genre,title,genres,review_num,rating_sum,avg_score,post_a,post_b,post_mean
745,Animation,"Close Shave, A (1995)",Animation|Comedy|Thriller,657,2970,0.9041095890410958,600.9027020950823,69.90270209508236,0.8957928757603363
1148,Animation,"Wrong Trousers, The (1993)",Animation|Comedy,882,3976,0.9015873015873016,802.1027020950823,93.70270209508232,0.895398373735206
720,Animation,Wallace & Gromit: The Best of Aardman Animation (1996),Animation,438,1939,0.8853881278538813,394.7027020950823,57.10270209508231,0.8736121755837878
1223,Animation,"Grand Day Out, A (1992)",Animation|Comedy,473,2063,0.8723044397463002,419.5027020950823,67.30270209508232,0.8617461895127373
3429,Animation,Creature Comforts (1990),Animation|Comedy,274,1188,0.8671532846715329,244.50270209508233,43.302702095082324,0.8495417338776916
3114,Animation,Toy Story 2 (1999),Animation|Children's|Comedy,1585,6687,0.8437854889589905,1344.3027020950824,254.50270209508236,0.8408169615713836
1,Animation,Toy Story (1995),Animation|Children's|Comedy,2077,8613,0.8293692826191622,1729.5027020950822,361.3027020950824,0.827194486215217
3000,Animation,"Princess Mononoke, The (Mononoke Hime) (1997)",Action|Adventure|Animation,345,1431,0.8295652173913044,293.10270209508235,65.70270209508232,0.816884859236233
741,Animation,Ghost in the Shell (Kokaku kidotai) (1995),Animation|Sci-Fi,314,1284,0.8178343949044586,263.7027020950823,64.10270209508232,0.8044489161078766
2761,Animation,"Iron Giant, The (1999)",Animation|Children's,674,2728,0.8094955489614243,552.5027020950823,135.30270209508237,0.8032834559443591
919,Children's,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical,1718,7298,0.849592549476135,1466.5027020950822,265.3027020950823,0.8468057083935798
3114,Children's,Toy Story 2 (1999),Animation|Children's|Comedy,1585,6687,0.8437854889589905,1344.3027020950824,254.50270209508236,0.8408169615713836
1,Children's,Toy Story (1995),Animation|Children's|Comedy,2077,8613,0.8293692826191622,1729.5027020950822,361.3027020950824,0.827194486215217
2761,Children's,"Iron Giant, The (1999)",Animation|Children's,674,2728,0.8094955489614243,552.5027020950823,135.30270209508237,0.8032834559443591
1097,Children's,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi,2269,8997,0.7930365799911856,1806.3027020950824,476.50270209508216,0.7912644234938091
1023,Children's,Winnie the Pooh and the Blustery Day (1968),Animation|Children's,221,881,0.7972850678733032,183.10270209508235,51.702702095082316,0.7798061664151085
1282,Children's,Fantasia (1940),Animation|Children's|Musical,943,3682,0.7809119830328738,743.3027020950823,213.50270209508236,0.7768588041412768
34,Children's,Babe (1995),Children's|Comedy|Drama,1751,6814,0.7782981153626499,1369.7027020950823,395.1027020950823,0.776121094622108
1028,Children's,Mary Poppins (1964),Children's|Comedy|Musical,1011,3937,0.7788328387734916,794.3027020950824,230.5027020950823,0.7750766134208347
595,Children's,Beauty and the Beast (1991),Animation|Children's|Musical,1060,4119,0.7771698113207547,830.7027020950823,243.10270209508235,0.7736063711856396
745,Comedy,"Close Shave, A (1995)",Animation|Comedy|Thriller,657,2970,0.9041095890410958,600.9027020950823,69.90270209508236,0.8957928757603363
1148,Comedy,"Wrong Trousers, The (1993)",Animation|Comedy,882,3976,0.9015873015873016,802.1027020950823,93.70270209508232,0.895398373735206
